Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chapter0_f03c69c8		夜晚降临后，人们总算有了容身之所	game/rpy/chapter/chapter0.rpy	3	"[what]"
chapter0_496eec2d		开始躲藏，开始逃避	game/rpy/chapter/chapter0.rpy	3	"[what]"
chapter0_dc5025d0		那些挣扎的瞬间，都会允许存在，都会允许被释放	game/rpy/chapter/chapter0.rpy	3	"[what]"
chapter0_fe4f7f5d		但夜晚总是漫长的，人们可以逃避，但总是躲不掉的	game/rpy/chapter/chapter0.rpy	3	"[what]"
chapter0_23711e4d		于是又有多少人沉浸于无尽的黑夜里，多少人挣扎着等待黎明到来	game/rpy/chapter/chapter0.rpy	3	"[what]"
chapter0_dac42e7f		直至夜尽天明，直至死亡降临	game/rpy/chapter/chapter0.rpy	3	"[what]"
chapter0_7c824802	aki	刚才过去的那家伙，给人的感觉不太对劲	game/rpy/chapter/chapter0.rpy	19	aki "[what]"
chapter0_90fd2d4a	aki	要跟上去看看吗？还是说	game/rpy/chapter/chapter0.rpy	19	aki "[what]"
chapter0_795118f4	aki	算了，自己的事都解决不完，还要管别人干什么	game/rpy/chapter/chapter0.rpy	27	aki "[what]"
chapter0_e8ebcf94	aki	等等心情好点了就回去吧	game/rpy/chapter/chapter0.rpy	27	aki "[what]"
chapter0_2dd98441	aki	回去泡个热水澡，换身衣服，然后弹会小提琴，好好地睡一觉	game/rpy/chapter/chapter0.rpy	27	aki "[what]"
chapter0_3e03ee38	aki	明天还得.... 继....续...努...力	game/rpy/chapter/chapter0.rpy	27	aki "[what]"
chapter0_87531e9f	aki	不对?!上次拉小提琴被邻居敲门了，让我别扰民	game/rpy/chapter/chapter0.rpy	39	aki "[what]"
chapter0_04da368c	aki	什么动静	game/rpy/chapter/chapter0.rpy	41	aki "[what]"
chapter0_639d562b	aki	好像有什么东西...	game/rpy/chapter/chapter0.rpy	41	aki "[what]"
chapter0_c4752f33	aki	有人在江里面吗	game/rpy/chapter/chapter0.rpy	41	aki "[what]"
